"","ACTB_MUT","ARID1A_MUT","B2M_MUT","BCL2_MUT","BCL7A_MUT","BTG1_MUT","CCND3_MUT","CD58_MUT","CIITA_MUT","CSF2RB_MUT","DDX3X_MUT","EGR1_MUT","EP300_MUT","EZH2_MUT","FAS_MUT","FOXO1_MUT","GNA13_MUT","HIST1H1C_MUT","HIST1H1E_MUT","HIST1H1B_MUT","IKBKB_MUT","IL4R_MUT","IRF8_MUT","ITPKB_MUT","KMT2D_MUT","MFHAS1_MUT","MYC_MUT","NFKBIA_MUT","NFKBIE_MUT","NOTCH1_MUT","PCBP1_MUT","PTPN1_MUT","SOCS1_MUT","SPEN_MUT","STAT6_MUT","TBL1XR1_MUT","TMSB4X_MUT","TNFAIP3_MUT","TNFRSF14_MUT","TP53_MUT","UBE2A_MUT","VMP1_MUT","XPO1_MUT","ZFP36L1_MUT","CNA_9p24_1_AMP","CNA_1p36_32_DEL","CNA_2p15_AMP","CNA_6q23_3_DEL","CNA_8q24_21_AMP","CNA_12q13_3_AMP","CNA_13q_arm_DEL"
"HL057",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HL059",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"HL068",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"HL071",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HL073",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HL076",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HL083",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"HL084",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"HL086",1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HL087",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
